quarter,country,rank
2025-01-01,SG,1
2025-01-01,IL,2
2025-01-01,NL,3
2025-01-01,CH,4
2025-01-01,CA,5
2025-01-01,AE,6
2025-01-01,FI,7
2025-01-01,NO,8
2025-01-01,SE,9
2025-01-01,DK,10
2025-01-01,BE,11
2025-01-01,PT,12
2025-01-01,ES,13
2025-01-01,AT,14
2025-01-01,CZ,15
2025-01-01,DE,16
2025-01-01,FR,17
2025-01-01,KZ,18
2025-01-01,IE,19
2025-01-01,AU,20
2025-01-01,PL,21
2025-01-01,US,22
2025-01-01,GB,23
2025-01-01,TW,24
2025-01-01,SK,25
2025-01-01,BG,26
2025-01-01,LB,27
2025-01-01,NZ,28
2025-01-01,GR,29
2025-01-01,MY,30
2025-01-01,RO,31
2025-01-01,HU,32
2025-01-01,IT,33
2025-01-01,KR,34
2025-01-01,UA,35
2025-01-01,RS,36
2025-01-01,CR,37
2025-01-01,EC,38
2025-01-01,KG,39
2025-01-01,PH,40
2025-01-01,TN,41
2025-01-01,SA,42
2025-01-01,DO,43
2025-01-01,AZ,44
2025-01-01,CL,45
2025-01-01,MA,46
2025-01-01,CO,47
2025-01-01,PE,48
2025-01-01,BR,49
2025-01-01,VN,50
2025-01-01,OM,51
2025-01-01,UZ,52
2025-01-01,PS,53
2025-01-01,JO,54
2025-01-01,DZ,55
2025-01-01,TR,56
2025-01-01,MX,57
2025-01-01,BO,58
2025-01-01,TH,59
2025-01-01,AR,60
2025-01-01,SV,61
2025-01-01,JP,62
2025-01-01,LY,63
2025-01-01,LK,64
2025-01-01,NI,65
2025-01-01,NP,66
2025-01-01,PY,67
2025-01-01,ID,68
2025-01-01,EG,69
2025-01-01,HN,70
2025-01-01,IQ,71
2025-01-01,GT,72
2025-01-01,ZA,73
2025-01-01,KE,74
2025-01-01,KH,75
2025-01-01,IN,76
2025-01-01,PK,77
2025-01-01,SN,78
2025-01-01,GH,79
2025-01-01,BD,80
2025-01-01,SO,81
2025-01-01,LA,82
2025-01-01,HT,83
2025-01-01,TJ,84
2025-01-01,MR,85
2025-01-01,RW,86
2025-01-01,NG,87
2025-01-01,CI,88
2025-01-01,AF,89
2025-01-01,BJ,90
2025-01-01,TG,91
2025-01-01,CG,92
2025-01-01,ZM,93
2025-01-01,MG,94
2025-01-01,YE,95
2025-01-01,AO,96
2025-01-01,TZ,97
2025-01-01,CM,98
2025-01-01,MM,99
2025-01-01,MZ,100
2025-01-01,LR,101
2025-01-01,PG,102
2025-01-01,SL,103
2025-01-01,BF,104
2025-01-01,UG,105
2025-01-01,ZW,106
2025-01-01,GN,107
2025-01-01,MW,108
2025-01-01,ET,109
2025-01-01,ML,110
2025-01-01,SD,111
2025-01-01,CD,112
2025-01-01,BI,113
2025-01-01,TD,114
2025-01-01,NE,115
2025-01-01,SS,116
2025-01-01,TM,117
2025-01-01,CF,118
2025-04-01,SG,1
2025-04-01,IL,2
2025-04-01,NL,3
2025-04-01,CH,4
2025-04-01,AE,5
2025-04-01,FI,6
2025-04-01,BE,7
2025-04-01,DK,8
2025-04-01,NO,9
2025-04-01,AU,10
2025-04-01,CZ,11
2025-04-01,CA,12
2025-04-01,SE,13
2025-04-01,PT,14
2025-04-01,ES,15
2025-04-01,FR,16
2025-04-01,TW,17
2025-04-01,KR,18
2025-04-01,DE,19
2025-04-01,AT,20
2025-04-01,IE,21
2025-04-01,GR,22
2025-04-01,PL,23
2025-04-01,NZ,24
2025-04-01,AZ,25
2025-04-01,BG,26
2025-04-01,MY,27
2025-04-01,GB,28
2025-04-01,SK,29
2025-04-01,KZ,30
2025-04-01,US,31
2025-04-01,HU,32
2025-04-01,LB,33
2025-04-01,SA,34
2025-04-01,RO,35
2025-04-01,RS,36
2025-04-01,CR,37
2025-04-01,CL,38
2025-04-01,PE,39
2025-04-01,IT,40
2025-04-01,AR,41
2025-04-01,UA,42
2025-04-01,EC,43
2025-04-01,BR,44
2025-04-01,TN,45
2025-04-01,JO,46
2025-04-01,OM,47
2025-04-01,DO,48
2025-04-01,TR,49
2025-04-01,PS,50
2025-04-01,JP,51
2025-04-01,CO,52
2025-04-01,KG,53
2025-04-01,VN,54
2025-04-01,BO,55
2025-04-01,MA,56
2025-04-01,LY,57
2025-04-01,DZ,58
2025-04-01,SV,59
2025-04-01,PY,60
2025-04-01,PH,61
2025-04-01,MX,62
2025-04-01,UZ,63
2025-04-01,TH,64
2025-04-01,IQ,65
2025-04-01,NI,66
2025-04-01,ID,67
2025-04-01,EG,68
2025-04-01,LK,69
2025-04-01,NP,70
2025-04-01,HN,71
2025-04-01,GT,72
2025-04-01,ZA,73
2025-04-01,KH,74
2025-04-01,KE,75
2025-04-01,IN,76
2025-04-01,BD,77
2025-04-01,PK,78
2025-04-01,SN,79
2025-04-01,GH,80
2025-04-01,LA,81
2025-04-01,SO,82
2025-04-01,MR,83
2025-04-01,TJ,84
2025-04-01,HT,85
2025-04-01,CI,86
2025-04-01,RW,87
2025-04-01,NG,88
