month,topic,typical_name_gender,share_of_messages
2024-07-01,Multimedia,feminine,0.304
2024-07-01,Multimedia,masculine,0.696
2024-07-01,Other/Unknown,feminine,0.377
2024-07-01,Other/Unknown,masculine,0.623
2024-07-01,Practical Guidance,feminine,0.436
2024-07-01,Practical Guidance,masculine,0.564
2024-07-01,Seeking information,feminine,0.391
2024-07-01,Seeking information,masculine,0.609
2024-07-01,Self-expression,feminine,0.437
2024-07-01,Self-expression,masculine,0.563
2024-07-01,Technical help,feminine,0.264
2024-07-01,Technical help,masculine,0.736
2024-07-01,Writing,feminine,0.492
2024-07-01,Writing,masculine,0.508
2024-08-01,Multimedia,feminine,0.336
2024-08-01,Multimedia,masculine,0.664
2024-08-01,Other/Unknown,feminine,0.387
2024-08-01,Other/Unknown,masculine,0.613
2024-08-01,Practical Guidance,feminine,0.438
2024-08-01,Practical Guidance,masculine,0.562
2024-08-01,Seeking information,feminine,0.389
2024-08-01,Seeking information,masculine,0.611
2024-08-01,Self-expression,feminine,0.447
2024-08-01,Self-expression,masculine,0.553
2024-08-01,Technical help,feminine,0.260
2024-08-01,Technical help,masculine,0.740
2024-08-01,Writing,feminine,0.499
2024-08-01,Writing,masculine,0.501
2024-09-01,Multimedia,feminine,0.352
2024-09-01,Multimedia,masculine,0.648
2024-09-01,Other/Unknown,feminine,0.403
2024-09-01,Other/Unknown,masculine,0.597
2024-09-01,Practical Guidance,feminine,0.459
2024-09-01,Practical Guidance,masculine,0.541
2024-09-01,Seeking information,feminine,0.414
2024-09-01,Seeking information,masculine,0.586
2024-09-01,Self-expression,feminine,0.467
2024-09-01,Self-expression,masculine,0.533
2024-09-01,Technical help,feminine,0.287
2024-09-01,Technical help,masculine,0.713
2024-09-01,Writing,feminine,0.506
2024-09-01,Writing,masculine,0.494
2024-10-01,Multimedia,feminine,0.366
2024-10-01,Multimedia,masculine,0.634
2024-10-01,Other/Unknown,feminine,0.422
2024-10-01,Other/Unknown,masculine,0.578
2024-10-01,Practical Guidance,feminine,0.471
2024-10-01,Practical Guidance,masculine,0.529
2024-10-01,Seeking information,feminine,0.426
2024-10-01,Seeking information,masculine,0.574
2024-10-01,Self-expression,feminine,0.484
2024-10-01,Self-expression,masculine,0.516
2024-10-01,Technical help,feminine,0.295
2024-10-01,Technical help,masculine,0.705
2024-10-01,Writing,feminine,0.519
2024-10-01,Writing,masculine,0.481
2024-11-01,Multimedia,feminine,0.392
2024-11-01,Multimedia,masculine,0.608
2024-11-01,Other/Unknown,feminine,0.434
2024-11-01,Other/Unknown,masculine,0.566
2024-11-01,Practical Guidance,feminine,0.483
2024-11-01,Practical Guidance,masculine,0.517
2024-11-01,Seeking information,feminine,0.429
2024-11-01,Seeking information,masculine,0.571
2024-11-01,Self-expression,feminine,0.524
2024-11-01,Self-expression,masculine,0.476
2024-11-01,Technical help,feminine,0.306
2024-11-01,Technical help,masculine,0.694
2024-11-01,Writing,feminine,0.528
2024-11-01,Writing,masculine,0.472
2024-12-01,Multimedia,feminine,0.390
2024-12-01,Multimedia,masculine,0.610
2024-12-01,Other/Unknown,feminine,0.427
2024-12-01,Other/Unknown,masculine,0.573
2024-12-01,Practical Guidance,feminine,0.473
2024-12-01,Practical Guidance,masculine,0.527
2024-12-01,Seeking information,feminine,0.415
2024-12-01,Seeking information,masculine,0.585
2024-12-01,Self-expression,feminine,0.528
2024-12-01,Self-expression,masculine,0.472
2024-12-01,Technical help,feminine,0.300
2024-12-01,Technical help,masculine,0.700
2024-12-01,Writing,feminine,0.523
2024-12-01,Writing,masculine,0.477
2025-01-01,Multimedia,feminine,0.394
2025-01-01,Multimedia,masculine,0.606
2025-01-01,Other/Unknown,feminine,0.427
2025-01-01,Other/Unknown,masculine,0.573
2025-01-01,Practical Guidance,feminine,0.479
2025-01-01,Practical Guidance,masculine,0.521
2025-01-01,Seeking information,feminine,0.415
2025-01-01,Seeking information,masculine,0.585
2025-01-01,Self-expression,feminine,0.522
2025-01-01,Self-expression,masculine,0.478
2025-01-01,Technical help,feminine,0.301
2025-01-01,Technical help,masculine,0.699
2025-01-01,Writing,feminine,0.525
2025-01-01,Writing,masculine,0.475
2025-02-01,Multimedia,feminine,0.393
2025-02-01,Multimedia,masculine,0.607
2025-02-01,Other/Unknown,feminine,0.430
2025-02-01,Other/Unknown,masculine,0.570
2025-02-01,Practical Guidance,feminine,0.482
2025-02-01,Practical Guidance,masculine,0.518
2025-02-01,Seeking information,feminine,0.419
2025-02-01,Seeking information,masculine,0.581
2025-02-01,Self-expression,feminine,0.533
2025-02-01,Self-expression,masculine,0.467
2025-02-01,Technical help,feminine,0.305
2025-02-01,Technical help,masculine,0.695
2025-02-01,Writing,feminine,0.532
2025-02-01,Writing,masculine,0.468
2025-03-01,Multimedia,feminine,0.417
2025-03-01,Multimedia,masculine,0.583
2025-03-01,Other/Unknown,feminine,0.442
2025-03-01,Other/Unknown,masculine,0.558
2025-03-01,Practical Guidance,feminine,0.492
2025-03-01,Practical Guidance,masculine,0.508
2025-03-01,Seeking information,feminine,0.435
2025-03-01,Seeking information,masculine,0.565
2025-03-01,Self-expression,feminine,0.557
2025-03-01,Self-expression,masculine,0.443
2025-03-01,Technical help,feminine,0.318
2025-03-01,Technical help,masculine,0.682
2025-03-01,Writing,feminine,0.541
2025-03-01,Writing,masculine,0.459
2025-04-01,Multimedia,feminine,0.470
2025-04-01,Multimedia,masculine,0.530
2025-04-01,Other/Unknown,feminine,0.468
2025-04-01,Other/Unknown,masculine,0.532
2025-04-01,Practical Guidance,feminine,0.499
2025-04-01,Practical Guidance,masculine,0.501
2025-04-01,Seeking information,feminine,0.441
2025-04-01,Seeking information,masculine,0.559
2025-04-01,Self-expression,feminine,0.593
2025-04-01,Self-expression,masculine,0.407
2025-04-01,Technical help,feminine,0.316
2025-04-01,Technical help,masculine,0.684
2025-04-01,Writing,feminine,0.549
2025-04-01,Writing,masculine,0.451
2025-05-01,Multimedia,feminine,0.469
2025-05-01,Multimedia,masculine,0.531
2025-05-01,Other/Unknown,feminine,0.475
2025-05-01,Other/Unknown,masculine,0.525
2025-05-01,Practical Guidance,feminine,0.506
2025-05-01,Practical Guidance,masculine,0.494
2025-05-01,Seeking information,feminine,0.446
2025-05-01,Seeking information,masculine,0.554
2025-05-01,Self-expression,feminine,0.592
2025-05-01,Self-expression,masculine,0.408
2025-05-01,Technical help,feminine,0.324
2025-05-01,Technical help,masculine,0.676
2025-05-01,Writing,feminine,0.559
2025-05-01,Writing,masculine,0.441
2025-06-01,Multimedia,feminine,0.474
2025-06-01,Multimedia,masculine,0.526
2025-06-01,Other/Unknown,feminine,0.470
2025-06-01,Other/Unknown,masculine,0.530
2025-06-01,Practical Guidance,feminine,0.506
2025-06-01,Practical Guidance,masculine,0.494
2025-06-01,Seeking information,feminine,0.449
2025-06-01,Seeking information,masculine,0.551
2025-06-01,Self-expression,feminine,0.592
2025-06-01,Self-expression,masculine,0.408
2025-06-01,Technical help,feminine,0.321
2025-06-01,Technical help,masculine,0.679
2025-06-01,Writing,feminine,0.553
2025-06-01,Writing,masculine,0.447
2025-07-01,Multimedia,feminine,0.474
2025-07-01,Multimedia,masculine,0.526
2025-07-01,Other/Unknown,feminine,0.470
2025-07-01,Other/Unknown,masculine,0.530
2025-07-01,Practical Guidance,feminine,0.500
2025-07-01,Practical Guidance,masculine,0.500
2025-07-01,Seeking information,feminine,0.438
2025-07-01,Seeking information,masculine,0.562
2025-07-01,Self-expression,feminine,0.611
2025-07-01,Self-expression,masculine,0.389
2025-07-01,Technical help,feminine,0.310
2025-07-01,Technical help,masculine,0.690
2025-07-01,Writing,feminine,0.554
2025-07-01,Writing,masculine,0.446
2025-08-01,Multimedia,feminine,0.466
2025-08-01,Multimedia,masculine,0.534
2025-08-01,Other/Unknown,feminine,0.475
2025-08-01,Other/Unknown,masculine,0.525
2025-08-01,Practical Guidance,feminine,0.506
2025-08-01,Practical Guidance,masculine,0.494
2025-08-01,Seeking information,feminine,0.435
2025-08-01,Seeking information,masculine,0.565
2025-08-01,Self-expression,feminine,0.611
2025-08-01,Self-expression,masculine,0.389
2025-08-01,Technical help,feminine,0.312
2025-08-01,Technical help,masculine,0.688
2025-08-01,Writing,feminine,0.557
2025-08-01,Writing,masculine,0.443
2025-09-01,Multimedia,feminine,0.491
2025-09-01,Multimedia,masculine,0.509
2025-09-01,Other/Unknown,feminine,0.493
2025-09-01,Other/Unknown,masculine,0.507
2025-09-01,Practical Guidance,feminine,0.517
2025-09-01,Practical Guidance,masculine,0.483
2025-09-01,Seeking information,feminine,0.447
2025-09-01,Seeking information,masculine,0.553
2025-09-01,Self-expression,feminine,0.608
2025-09-01,Self-expression,masculine,0.392
2025-09-01,Technical help,feminine,0.341
2025-09-01,Technical help,masculine,0.659
2025-09-01,Writing,feminine,0.565
2025-09-01,Writing,masculine,0.435
2025-10-01,Multimedia,feminine,0.487
2025-10-01,Multimedia,masculine,0.513
2025-10-01,Other/Unknown,feminine,0.490
2025-10-01,Other/Unknown,masculine,0.510
2025-10-01,Practical Guidance,feminine,0.528
2025-10-01,Practical Guidance,masculine,0.472
2025-10-01,Seeking information,feminine,0.454
2025-10-01,Seeking information,masculine,0.546
2025-10-01,Self-expression,feminine,0.609
