month,topic,share_of_messages
2024-07-01,Multimedia,0.020
2024-07-01,Other/Unknown,0.034
2024-07-01,Practical Guidance,0.261
2024-07-01,Seeking information,0.167
2024-07-01,Self-expression,0.040
2024-07-01,Technical help,0.135
2024-07-01,Writing,0.343
2024-08-01,Multimedia,0.026
2024-08-01,Other/Unknown,0.036
2024-08-01,Practical Guidance,0.261
2024-08-01,Seeking information,0.167
2024-08-01,Self-expression,0.045
2024-08-01,Technical help,0.123
2024-08-01,Writing,0.342
2024-09-01,Multimedia,0.033
2024-09-01,Other/Unknown,0.035
2024-09-01,Practical Guidance,0.275
2024-09-01,Seeking information,0.166
2024-09-01,Self-expression,0.044
2024-09-01,Technical help,0.120
2024-09-01,Writing,0.327
2024-10-01,Multimedia,0.044
2024-10-01,Other/Unknown,0.037
2024-10-01,Practical Guidance,0.281
2024-10-01,Seeking information,0.166
2024-10-01,Self-expression,0.046
2024-10-01,Technical help,0.118
2024-10-01,Writing,0.309
2024-11-01,Multimedia,0.040
2024-11-01,Other/Unknown,0.039
2024-11-01,Practical Guidance,0.280
2024-11-01,Seeking information,0.172
2024-11-01,Self-expression,0.052
2024-11-01,Technical help,0.111
2024-11-01,Writing,0.307
2024-12-01,Multimedia,0.037
2024-12-01,Other/Unknown,0.041
2024-12-01,Practical Guidance,0.275
2024-12-01,Seeking information,0.176
2024-12-01,Self-expression,0.064
2024-12-01,Technical help,0.102
2024-12-01,Writing,0.303
2025-01-01,Multimedia,0.039
2025-01-01,Other/Unknown,0.042
2025-01-01,Practical Guidance,0.274
2025-01-01,Seeking information,0.180
2025-01-01,Self-expression,0.062
2025-01-01,Technical help,0.094
2025-01-01,Writing,0.309
2025-02-01,Multimedia,0.040
2025-02-01,Other/Unknown,0.042
2025-02-01,Practical Guidance,0.287
2025-02-01,Seeking information,0.181
2025-02-01,Self-expression,0.071
2025-02-01,Technical help,0.091
2025-02-01,Writing,0.288
2025-03-01,Multimedia,0.054
2025-03-01,Other/Unknown,0.043
2025-03-01,Practical Guidance,0.282
2025-03-01,Seeking information,0.178
2025-03-01,Self-expression,0.076
2025-03-01,Technical help,0.083
2025-03-01,Writing,0.284
2025-04-01,Multimedia,0.094
2025-04-01,Other/Unknown,0.049
2025-04-01,Practical Guidance,0.275
2025-04-01,Seeking information,0.162
2025-04-01,Self-expression,0.091
2025-04-01,Technical help,0.072
2025-04-01,Writing,0.256
2025-05-01,Multimedia,0.069
2025-05-01,Other/Unknown,0.047
2025-05-01,Practical Guidance,0.290
2025-05-01,Seeking information,0.176
2025-05-01,Self-expression,0.080
2025-05-01,Technical help,0.069
2025-05-01,Writing,0.269
2025-06-01,Multimedia,0.071
2025-06-01,Other/Unknown,0.050
2025-06-01,Practical Guidance,0.283
2025-06-01,Seeking information,0.184
2025-06-01,Self-expression,0.091
2025-06-01,Technical help,0.062
2025-06-01,Writing,0.259
2025-07-01,Multimedia,0.068
2025-07-01,Other/Unknown,0.053
2025-07-01,Practical Guidance,0.277
2025-07-01,Seeking information,0.191
2025-07-01,Self-expression,0.101
2025-07-01,Technical help,0.059
2025-07-01,Writing,0.251
2025-08-01,Multimedia,0.065
2025-08-01,Other/Unknown,0.052
2025-08-01,Practical Guidance,0.285
2025-08-01,Seeking information,0.188
2025-08-01,Self-expression,0.096
2025-08-01,Technical help,0.056
2025-08-01,Writing,0.258
2025-09-01,Multimedia,0.065
2025-09-01,Other/Unknown,0.055
2025-09-01,Practical Guidance,0.292
2025-09-01,Seeking information,0.186
2025-09-01,Self-expression,0.078
2025-09-01,Technical help,0.058
2025-09-01,Writing,0.266
2025-10-01,Multimedia,0.071
2025-10-01,Other/Unknown,0.049
2025-10-01,Practical Guidance,0.292
2025-10-01,Seeking information,0.184
2025-10-01,Self-expression,0.079
2025-10-01,Technical help,0.059
2025-10-01,Writing,0.266
2025-11-01,Multimedia,0.057
2025-11-01,Other/Unknown,0.052
2025-11-01,Practical Guidance,0.299
2025-11-01,Seeking information,0.183
2025-11-01,Self-expression,0.087
2025-11-01,Technical help,0.058
2025-11-01,Writing,0.265
2025-12-01,Multimedia,0.046
2025-12-01,Other/Unknown,0.053
2025-12-01,Practical Guidance,0.310
2025-12-01,Seeking information,0.182
2025-12-01,Self-expression,0.095
2025-12-01,Technical help,0.053
2025-12-01,Writing,0.262
2026-01-01,Multimedia,0.054
2026-01-01,Other/Unknown,0.053
2026-01-01,Practical Guidance,0.320
2026-01-01,Seeking information,0.184
2026-01-01,Self-expression,0.091
2026-01-01,Technical help,0.048
2026-01-01,Writing,0.250
2026-02-01,Multimedia,0.059
2026-02-01,Other/Unknown,0.053
2026-02-01,Practical Guidance,0.325
2026-02-01,Seeking information,0.174
2026-02-01,Self-expression,0.101
2026-02-01,Technical help,0.047
2026-02-01,Writing,0.240
2026-03-01,Multimedia,0.060
2026-03-01,Other/Unknown,0.057
2026-03-01,Practical Guidance,0.321
2026-03-01,Seeking information,0.184
2026-03-01,Self-expression,0.092
2026-03-01,Technical help,0.045
2026-03-01,Writing,0.240
