month,work_related,ask_do_express,share_of_messages
2024-07-01,0,asking,0.536
2024-07-01,0,doing,0.326
2024-07-01,0,expressing,0.138
2024-07-01,1,asking,0.382
2024-07-01,1,doing,0.523
2024-07-01,1,expressing,0.096
2024-08-01,0,asking,0.526
2024-08-01,0,doing,0.332
2024-08-01,0,expressing,0.142
2024-08-01,1,asking,0.370
2024-08-01,1,doing,0.532
2024-08-01,1,expressing,0.098
2024-09-01,0,asking,0.526
2024-09-01,0,doing,0.335
2024-09-01,0,expressing,0.139
2024-09-01,1,asking,0.372
2024-09-01,1,doing,0.528
2024-09-01,1,expressing,0.100
2024-10-01,0,asking,0.518
2024-10-01,0,doing,0.339
2024-10-01,0,expressing,0.143
2024-10-01,1,asking,0.377
2024-10-01,1,doing,0.521
2024-10-01,1,expressing,0.102
2024-11-01,0,asking,0.517
2024-11-01,0,doing,0.333
2024-11-01,0,expressing,0.150
2024-11-01,1,asking,0.378
2024-11-01,1,doing,0.518
2024-11-01,1,expressing,0.103
2024-12-01,0,asking,0.514
2024-12-01,0,doing,0.317
2024-12-01,0,expressing,0.170
2024-12-01,1,asking,0.372
2024-12-01,1,doing,0.519
2024-12-01,1,expressing,0.109
2025-01-01,0,asking,0.514
2025-01-01,0,doing,0.311
2025-01-01,0,expressing,0.175
2025-01-01,1,asking,0.365
2025-01-01,1,doing,0.522
2025-01-01,1,expressing,0.113
2025-02-01,0,asking,0.507
2025-02-01,0,doing,0.300
2025-02-01,0,expressing,0.194
2025-02-01,1,asking,0.374
2025-02-01,1,doing,0.504
2025-02-01,1,expressing,0.122
2025-03-01,0,asking,0.495
2025-03-01,0,doing,0.300
2025-03-01,0,expressing,0.205
2025-03-01,1,asking,0.367
2025-03-01,1,doing,0.503
2025-03-01,1,expressing,0.129
2025-04-01,0,asking,0.446
2025-04-01,0,doing,0.319
2025-04-01,0,expressing,0.235
2025-04-01,1,asking,0.346
2025-04-01,1,doing,0.505
2025-04-01,1,expressing,0.148
2025-05-01,0,asking,0.478
2025-05-01,0,doing,0.301
2025-05-01,0,expressing,0.221
2025-05-01,1,asking,0.352
2025-05-01,1,doing,0.505
2025-05-01,1,expressing,0.143
2025-06-01,0,asking,0.481
2025-06-01,0,doing,0.283
2025-06-01,0,expressing,0.236
2025-06-01,1,asking,0.354
2025-06-01,1,doing,0.492
2025-06-01,1,expressing,0.155
2025-07-01,0,asking,0.483
2025-07-01,0,doing,0.266
2025-07-01,0,expressing,0.251
2025-07-01,1,asking,0.358
2025-07-01,1,doing,0.477
2025-07-01,1,expressing,0.165
2025-08-01,0,asking,0.462
2025-08-01,0,doing,0.285
2025-08-01,0,expressing,0.253
2025-08-01,1,asking,0.332
2025-08-01,1,doing,0.489
2025-08-01,1,expressing,0.179
2025-09-01,0,asking,0.458
2025-09-01,0,doing,0.293
2025-09-01,0,expressing,0.249
2025-09-01,1,asking,0.326
2025-09-01,1,doing,0.493
2025-09-01,1,expressing,0.181
2025-10-01,0,asking,0.459
2025-10-01,0,doing,0.288
2025-10-01,0,expressing,0.254
2025-10-01,1,asking,0.320
2025-10-01,1,doing,0.494
2025-10-01,1,expressing,0.186
2025-11-01,0,asking,0.460
2025-11-01,0,doing,0.278
2025-11-01,0,expressing,0.262
2025-11-01,1,asking,0.323
2025-11-01,1,doing,0.499
2025-11-01,1,expressing,0.178
2025-12-01,0,asking,0.477
2025-12-01,0,doing,0.259
2025-12-01,0,expressing,0.264
2025-12-01,1,asking,0.336
2025-12-01,1,doing,0.488
2025-12-01,1,expressing,0.176
2026-01-01,0,asking,0.488
2026-01-01,0,doing,0.248
2026-01-01,0,expressing,0.264
2026-01-01,1,asking,0.344
2026-01-01,1,doing,0.476
2026-01-01,1,expressing,0.180
2026-02-01,0,asking,0.458
2026-02-01,0,doing,0.242
2026-02-01,0,expressing,0.300
2026-02-01,1,asking,0.333
2026-02-01,1,doing,0.463
2026-02-01,1,expressing,0.204
2026-03-01,0,asking,0.464
2026-03-01,0,doing,0.240
2026-03-01,0,expressing,0.297
2026-03-01,1,asking,0.335
2026-03-01,1,doing,0.463
2026-03-01,1,expressing,0.202
