month,work_related,share_of_messages
2024-07-01,0,0.487
2024-07-01,1,0.513
2024-08-01,0,0.516
2024-08-01,1,0.484
2024-09-01,0,0.534
2024-09-01,1,0.466
2024-10-01,0,0.547
2024-10-01,1,0.453
2024-11-01,0,0.564
2024-11-01,1,0.436
2024-12-01,0,0.598
2024-12-01,1,0.402
2025-01-01,0,0.598
2025-01-01,1,0.402
2025-02-01,0,0.611
2025-02-01,1,0.389
2025-03-01,0,0.625
2025-03-01,1,0.375
2025-04-01,0,0.648
2025-04-01,1,0.352
2025-05-01,0,0.645
2025-05-01,1,0.355
2025-06-01,0,0.667
2025-06-01,1,0.333
2025-07-01,0,0.686
2025-07-01,1,0.314
2025-08-01,0,0.694
2025-08-01,1,0.306
2025-09-01,0,0.670
2025-09-01,1,0.330
2025-10-01,0,0.660
2025-10-01,1,0.340
2025-11-01,0,0.662
2025-11-01,1,0.338
2025-12-01,0,0.691
2025-12-01,1,0.309
2026-01-01,0,0.691
2026-01-01,1,0.309
2026-02-01,0,0.691
2026-02-01,1,0.309
2026-03-01,0,0.689
2026-03-01,1,0.311
