month,work_related,plan_type,share_of_messages
2024-09-01,0,free,0.560
2024-09-01,0,plus,0.383
2024-09-01,1,free,0.440
2024-09-01,1,plus,0.617
2024-10-01,0,free,0.576
2024-10-01,0,plus,0.386
2024-10-01,1,free,0.424
2024-10-01,1,plus,0.614
2024-11-01,0,free,0.592
2024-11-01,0,plus,0.397
2024-11-01,1,free,0.408
2024-11-01,1,plus,0.603
2024-12-01,0,free,0.625
2024-12-01,0,plus,0.431
2024-12-01,0,pro,0.357
2024-12-01,1,free,0.375
2024-12-01,1,plus,0.569
2024-12-01,1,pro,0.643
2025-01-01,0,free,0.627
2025-01-01,0,plus,0.425
2025-01-01,0,pro,0.384
2025-01-01,1,free,0.373
2025-01-01,1,plus,0.575
2025-01-01,1,pro,0.616
2025-02-01,0,free,0.638
2025-02-01,0,plus,0.441
2025-02-01,0,pro,0.321
2025-02-01,1,free,0.362
2025-02-01,1,plus,0.559
2025-02-01,1,pro,0.679
2025-03-01,0,free,0.653
2025-03-01,0,plus,0.457
2025-03-01,0,pro,0.380
2025-03-01,1,free,0.347
2025-03-01,1,plus,0.543
2025-03-01,1,pro,0.620
2025-04-01,0,free,0.680
2025-04-01,0,plus,0.489
2025-04-01,0,pro,0.374
2025-04-01,1,free,0.320
2025-04-01,1,plus,0.511
2025-04-01,1,pro,0.626
2025-05-01,0,free,0.675
2025-05-01,0,plus,0.493
2025-05-01,0,pro,0.378
2025-05-01,1,free,0.325
2025-05-01,1,plus,0.507
2025-05-01,1,pro,0.622
2025-06-01,0,free,0.699
2025-06-01,0,plus,0.515
2025-06-01,0,pro,0.403
2025-06-01,1,free,0.301
2025-06-01,1,plus,0.485
2025-06-01,1,pro,0.597
2025-07-01,0,free,0.718
2025-07-01,0,plus,0.535
2025-07-01,0,pro,0.414
2025-07-01,1,free,0.282
2025-07-01,1,plus,0.465
2025-07-01,1,pro,0.586
2025-08-01,0,free,0.725
2025-08-01,0,go,0.489
2025-08-01,0,plus,0.559
2025-08-01,0,pro,0.400
2025-08-01,1,free,0.275
2025-08-01,1,go,0.511
2025-08-01,1,plus,0.441
2025-08-01,1,pro,0.600
2025-09-01,0,free,0.703
2025-09-01,0,go,0.475
2025-09-01,0,plus,0.528
2025-09-01,0,pro,0.311
2025-09-01,1,free,0.297
2025-09-01,1,go,0.525
2025-09-01,1,plus,0.472
2025-09-01,1,pro,0.689
2025-10-01,0,free,0.698
2025-10-01,0,go,0.462
2025-10-01,0,plus,0.510
2025-10-01,0,pro,0.220
2025-10-01,1,free,0.302
2025-10-01,1,go,0.538
2025-10-01,1,plus,0.490
2025-10-01,1,pro,0.780
2025-11-01,0,free,0.705
2025-11-01,0,go,0.500
2025-11-01,0,plus,0.518
2025-11-01,0,pro,0.237
2025-11-01,1,free,0.295
2025-11-01,1,go,0.500
2025-11-01,1,plus,0.482
2025-11-01,1,pro,0.763
2025-12-01,0,free,0.733
2025-12-01,0,go,0.547
2025-12-01,0,plus,0.555
2025-12-01,0,pro,0.271
2025-12-01,1,free,0.267
2025-12-01,1,go,0.453
2025-12-01,1,plus,0.445
2025-12-01,1,pro,0.729
2026-01-01,0,free,0.736
2026-01-01,0,go,0.555
2026-01-01,0,plus,0.535
2026-01-01,0,pro,0.300
2026-01-01,1,free,0.264
2026-01-01,1,go,0.445
2026-01-01,1,plus,0.465
2026-01-01,1,pro,0.700
2026-02-01,0,free,0.738
2026-02-01,0,go,0.552
2026-02-01,0,plus,0.530
2026-02-01,0,pro,0.338
2026-02-01,1,free,0.262
2026-02-01,1,go,0.448
2026-02-01,1,plus,0.470
2026-02-01,1,pro,0.662
2026-03-01,0,free,0.736
2026-03-01,0,go,0.580
2026-03-01,0,plus,0.529
2026-03-01,0,pro,0.314
2026-03-01,1,free,0.264
2026-03-01,1,go,0.420
2026-03-01,1,plus,0.471
2026-03-01,1,pro,0.686
