month,work_schoolwork,share_of_messages
2024-07-01,Other,0.487
2024-07-01,Schoolwork,0.238
2024-07-01,Work,0.275
2024-08-01,Other,0.508
2024-08-01,Schoolwork,0.235
2024-08-01,Work,0.257
2024-09-01,Other,0.471
2024-09-01,Schoolwork,0.297
2024-09-01,Work,0.232
2024-10-01,Other,0.468
2024-10-01,Schoolwork,0.316
2024-10-01,Work,0.217
2024-11-01,Other,0.478
2024-11-01,Schoolwork,0.319
2024-11-01,Work,0.203
2024-12-01,Other,0.527
2024-12-01,Schoolwork,0.281
2024-12-01,Work,0.192
2025-01-01,Other,0.548
2025-01-01,Schoolwork,0.241
2025-01-01,Work,0.211
2025-02-01,Other,0.550
2025-02-01,Schoolwork,0.245
2025-02-01,Work,0.204
2025-03-01,Other,0.566
2025-03-01,Schoolwork,0.242
2025-03-01,Work,0.192
2025-04-01,Other,0.603
2025-04-01,Schoolwork,0.213
2025-04-01,Work,0.184
2025-05-01,Other,0.593
2025-05-01,Schoolwork,0.217
2025-05-01,Work,0.189
2025-06-01,Other,0.633
2025-06-01,Schoolwork,0.176
2025-06-01,Work,0.191
2025-07-01,Other,0.676
2025-07-01,Schoolwork,0.128
2025-07-01,Work,0.196
2025-08-01,Other,0.685
2025-08-01,Schoolwork,0.126
2025-08-01,Work,0.190
2025-09-01,Other,0.626
2025-09-01,Schoolwork,0.177
2025-09-01,Work,0.196
2025-10-01,Other,0.608
2025-10-01,Schoolwork,0.199
2025-10-01,Work,0.194
2025-11-01,Other,0.607
2025-11-01,Schoolwork,0.204
2025-11-01,Work,0.190
2025-12-01,Other,0.644
2025-12-01,Schoolwork,0.172
2025-12-01,Work,0.183
2026-01-01,Other,0.651
2026-01-01,Schoolwork,0.157
2026-01-01,Work,0.192
2026-02-01,Other,0.646
2026-02-01,Schoolwork,0.160
2026-02-01,Work,0.194
2026-03-01,Other,0.645
2026-03-01,Schoolwork,0.163
2026-03-01,Work,0.192
